step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time
343,3,1.22,0.0575,,
344,2,1.3,0.0605,,
345,3,0.57,0.0677,,
346,6,0.09,0.0684,,
347,6,0.14,0.0609,,
348,5,0.23,0.0542,,
349,5,0.33,0.0591,,
350,5,0.21,0.0634,,
351,4,0.17,0.0542,,
352,4,0.21,0.0587,,
353,4,0.25,0.0432,,
354,4,0.32,0.0468,,
355,3,0.0,0.0529,,
356,1,0.05,0.055,,
357,1,0.05,0.0537,,
358,3,0.15,0.0657,,
359,5,0.26,0.0536,,
360,5,0.39,0.0514,,
361,5,0.41,0.0587,,
362,5,0.23,0.0545,,
363,4,0.31,0.0617,,
364,4,0.37,0.0487,,
365,4,0.41,0.0699,,
366,4,0.48,0.0734,,
367,3,0.18,0.0809,,
368,3,0.0,0.0955,,
369,3,0.07,0.1119,,
370,7,0.07,0.0895,,
371,8,0.0,0.0977,,
372,7,0.0,0.0963,,
373,11,0.0,0.0901,,
374,12,0.0,0.0999,,
375,12,0.0,0.0813,,
376,12,0.0,0.0908,,
377,12,0.0,0.0806,,
378,12,0.0,0.0831,,
379,9,0.0,0.069,,
380,10,0.0,0.083,,
381,10,0.0,0.0915,,
382,7,0.0,0.0863,,
383,9,0.04,0.0485,,
384,9,0.13,0.0678,,
385,8,0.19,0.0533,,
386,8,0.31,0.0579,,
387,8,0.42,0.0471,,
388,8,0.54,0.0663,,
389,8,0.68,0.0606,,
390,7,0.83,0.0625,,
391,7,0.96,0.0753,,
392,7,0.71,0.0976,,
393,6,0.5,0.1012,,
394,6,0.58,0.0717,,
395,7,0.67,0.0713,,
396,6,0.78,0.0446,,
397,6,0.78,0.0645,,
398,6,0.92,0.0552,,
399,6,1.08,0.0561,,
400,6,0.54,0.063,,
401,6,0.0,0.04,,
402,4,0.0,0.0415,,
403,3,0.05,0.0614,,
404,1,0.05,0.0571,,
405,2,0.1,0.0686,,
406,5,0.17,0.075,,
407,5,0.26,0.081,,
408,5,0.35,0.0839,,
409,5,0.37,0.0823,,
410,5,0.23,0.0904,,
411,5,0.35,0.0931,,
412,4,0.46,0.0993,,
413,4,0.27,0.0922,,
414,5,0.16,0.0673,,
415,3,0.0,0.079,,
416,4,0.0,0.0659,,
417,4,0.04,0.0822,,
418,7,0.0,0.0849,,
419,8,0.0,0.0679,,
420,8,0.0,0.05,,
421,8,0.07,0.0648,,
422,8,0.14,0.0489,,
423,8,0.21,0.0432,,
424,7,0.28,0.0446,,
425,5,0.38,0.057,,
426,5,0.5,0.0587,,
427,4,0.61,0.067,,
428,2,0.71,0.0708,,
429,4,0.89,0.0874,,
430,6,0.76,0.0674,,
431,8,0.92,0.065,,
432,9,0.6,0.0539,,
433,9,0.48,0.0636,,
434,10,0.59,0.0612,,
435,10,0.71,0.0603,,
436,10,0.82,0.0553,,
437,10,0.46,0.0583,,
438,9,0.26,0.0645,,
439,7,0.33,0.0694,,
440,5,0.41,0.0749,,
441,4,0.5,0.0829,,
442,7,0.58,0.0584,,
443,7,0.27,0.0566,,
444,7,0.38,0.0643,,
445,7,0.17,0.0516,,
446,7,0.14,0.0604,,
447,7,0.18,0.0496,,
448,5,0.22,0.0585,,
449,5,0.27,0.0567,,
450,5,0.32,0.0689,,
451,4,0.32,0.0777,,
452,4,0.41,0.0755,,
453,4,0.41,0.0798,,
454,7,0.52,0.0806,,
455,8,0.54,0.0709,,
456,6,0.08,0.0731,,
457,6,0.0,0.064,,
458,5,0.0,0.0718,,
459,6,0.0,0.0773,,
460,9,0.0,0.0853,,
461,8,0.0,0.0679,,
462,8,0.04,0.0603,,
463,8,0.08,0.067,,
464,6,0.17,0.0652,,
465,6,0.29,0.0711,,
466,10,0.48,0.0528,,
