step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
218,24.0,2.45,0.115,,,0,0.9559867233356352
219,24.0,2.81,0.113,,,0,0.9555087299739674
220,28.0,2.65,0.114,,,0,0.9555087299739674
221,27.0,2.96,0.117,,,0,0.9555087299739674
222,28.0,3.25,0.127,,,0,0.9555087299739674
223,30.0,3.71,0.133,,,0,0.9555087299739674
224,32.0,1.51,0.132,,,0,0.9550309756089804
225,34.0,0.74,0.127,,,0,0.954553460121176
226,31.0,0.13,0.137,,,0,0.9540761833911156
227,31.0,0.23,0.104,,,0,0.95359914529942
228,32.0,0.36,0.068,,,0,0.9531223457267703
229,29.0,0.48,0.087,,,0,0.952645784553907
230,31.0,0.6,0.096,,,0,0.9521694616616301
231,32.0,0.72,0.096,,,0,0.9516933769307994
232,30.0,0.93,0.114,,,0,0.9516933769307994
233,32.0,1.0,0.129,,,0,0.9516933769307994
234,32.0,1.1,0.153,,,0,0.9516933769307994
235,33.0,1.36,0.138,,,0,0.9516933769307994
236,33.0,0.75,0.097,,,0,0.9516933769307994
237,33.0,0.79,0.104,,,0,0.9516933769307994
238,32.0,1.0,0.114,,,0,0.9516933769307994
239,30.0,1.33,0.094,,,0,0.9516933769307994
240,29.0,1.71,0.075,,,0,0.9516933769307994
241,30.0,1.81,0.096,,,0,0.9516933769307994
242,29.0,2.17,0.093,,,0,0.9516933769307994
243,25.0,2.6,0.085,,,0,0.9516933769307994
244,26.0,2.98,0.087,,,0,0.9516933769307994
245,26.0,3.35,0.082,,,0,0.9516933769307994
246,25.0,3.73,0.1,,,0,0.9516933769307994
247,25.0,4.1,0.099,,,0,0.9516933769307994
248,25.0,4.64,0.108,,,0,0.951217530242334
249,27.0,4.38,0.111,,,0,0.9507419214772129
250,28.0,4.76,0.096,,,0,0.9502665505164744
251,28.0,5.13,0.096,,,0,0.9497914172412162
252,30.0,5.93,0.102,,,0,0.9493165215325956
253,34.0,5.15,0.125,,,0,0.9488418632718294
254,33.0,3.63,0.113,,,0,0.9483674423401935
255,33.0,3.12,0.128,,,0,0.9478932586190235
256,32.0,3.42,0.125,,,0,0.9474193119897141
257,33.0,3.45,0.149,,,0,0.9469456023337193
258,35.0,3.69,0.136,27,,0,0.9464721295325524
259,32.0,4.17,0.135,,,0,0.9459988934677862
260,35.0,4.44,0.156,,,0,0.9455258940210524
261,34.0,4.71,0.139,,,0,0.9450531310740419
262,33.0,4.98,0.148,,,0,0.9445806045085049
263,32.0,5.25,0.12,,,0,0.9445806045085049
264,33.0,5.54,0.107,,,0,0.9445806045085049
265,34.0,5.19,0.092,,,0,0.9445806045085049
266,33.0,4.92,0.095,,,0,0.9445806045085049
267,32.0,1.48,0.087,,,0,0.9441083142062507
268,33.0,0.4,0.067,,,0,0.9436362600491477
269,33.0,0.12,0.071,,,0,0.9431644419191232
270,29.0,0.16,0.066,,,0,0.9426928596981636
271,30.0,0.29,0.091,,,0,0.9422215132683146
272,30.0,0.51,0.095,,,0,0.9417504025116805
273,32.0,0.67,0.084,,,0,0.9412795273104247
274,30.0,0.92,0.12,,,0,0.9408088875467696
275,31.0,1.2,0.109,,,0,0.9403384831029963
276,32.0,1.53,0.107,,,0,0.9398683138614449
277,30.0,1.89,0.101,,,0,0.9393983797045142
278,31.0,2.28,0.121,,,0,0.938928680514662
279,32.0,2.58,0.104,,,0,0.9384592161744048
280,30.0,2.88,0.095,,,0,0.9379899865663176
281,33.0,2.82,0.112,,,0,0.9375209915730345
282,30.0,3.33,0.109,,,0,0.937052231077248
283,30.0,3.67,0.095,,,0,0.937052231077248
284,31.0,4.33,0.088,,,0,0.937052231077248
285,30.0,4.83,0.098,,,0,0.937052231077248
286,31.0,5.37,0.095,,,0,0.937052231077248
287,27.0,2.71,0.082,,,0,0.9365837049617094
288,29.0,1.92,0.088,,,0,0.9361154131092286
289,32.0,1.12,0.103,,,0,0.9356473554026741
290,31.0,1.25,0.115,,,0,0.9351795317249728
291,27.0,1.5,0.104,,,0,0.9347119419591103
292,32.0,1.8,0.118,,,0,0.9342445859881309
293,32.0,2.07,0.099,,,0,0.9337774636951368
294,30.0,2.32,0.095,,,0,0.9333105749632893
295,29.0,2.61,0.126,,,0,0.9328439196758077
296,32.0,2.8,0.155,,,0,0.9323774977159699
297,34.0,2.7,0.177,,,0,0.9319113089671119
298,33.0,2.98,0.141,,,0,0.9314453533126285
299,34.0,3.26,0.141,,,0,0.9309796306359722
300,35.0,3.54,0.118,,,0,0.9305141408206543
301,35.0,3.84,0.111,,,0,0.9300488837502441
302,35.0,4.22,0.091,,,0,0.9295838593083691
303,34.0,4.55,0.081,,,0,0.929119067378715
304,34.0,5.22,0.089,,,0,0.9286545078450257
305,35.0,2.41,0.107,,,0,0.9286545078450257
306,35.0,2.14,0.106,,,0,0.9286545078450257
307,31.0,2.15,0.08,,,0,0.9286545078450257
308,30.0,2.04,0.096,,,0,0.9286545078450257
309,31.0,0.39,0.078,,,0,0.9281901805911033
310,26.0,0.09,0.068,,,0,0.9277260855008077
311,25.0,0.11,0.088,,,0,0.9272622224580573
312,26.0,0.21,0.096,,,0,0.9267985913468284
313,25.0,0.31,0.13,,,0,0.926335192051155
314,24.0,0.43,0.123,,,0,0.9258720244551295
315,21.0,0.62,0.092,,,0,0.925409088442902
316,23.0,0.79,0.126,,,0,0.9249463838986807
317,22.0,1.0,0.124,,,0,0.9244839107067314
318,21.0,1.2,0.123,,,0,0.9240216687513781
319,21.0,1.45,0.135,,,0,0.9235596579170025
320,22.0,1.74,0.142,,,0,0.923097878088044
321,23.0,1.78,0.153,,,0,0.9226363291490001
322,20.0,1.25,0.153,,,0,0.9226363291490001
323,21.0,1.15,0.131,,,0,0.9226363291490001
324,21.0,1.39,0.112,,,0,0.9226363291490001
325,24.0,1.37,0.101,,,0,0.9226363291490001
326,22.0,0.0,0.084,,,0,0.9226363291490001
327,21.0,0.03,0.101,,,0,0.9226363291490001
328,24.0,0.12,0.12,,,0,0.9226363291490001
329,24.0,0.22,0.121,,,0,0.9226363291490001
330,24.0,0.36,0.121,,,0,0.9226363291490001
331,22.0,0.51,0.13,,,0,0.9226363291490001
332,27.0,0.65,0.111,,,0,0.9226363291490001
333,27.0,0.81,0.14,,,0,0.9226363291490001
334,26.0,1.02,0.12,,,0,0.9226363291490001
335,26.0,1.27,0.097,,,0,0.9226363291490001
336,26.0,1.49,0.1,,,0,0.9226363291490001
337,27.0,1.52,0.083,,,0,0.9226363291490001
338,27.0,1.73,0.09,,,0,0.9221750109844257
339,26.0,2.02,0.075,,,0,0.9217139234789336
340,28.0,2.3,0.072,,,0,0.9212530665171942
341,28.0,2.76,0.071,,,0,0.9207924399839357
342,26.0,3.2,0.086,,21,0,0.9203320437639437
343,26.0,3.79,0.075,,,0,0.9198718777420618
344,28.0,4.47,0.092,,,0,0.9194119418031909
345,30.0,4.26,0.098,,,0,0.9189522358322894
346,30.0,5.0,0.095,,,0,0.9184927597143733
347,30.0,5.1,0.097,,,0,0.9180335133345161
348,31.0,4.05,0.079,,,0,0.917574496577849
349,31.0,4.33,0.084,,,0,0.9171157093295601
350,25.0,4.67,0.08,,,0,0.9166571514748953
351,26.0,5.0,0.094,,,0,0.916198822899158
352,27.0,5.65,0.094,,,0,0.9157407234877085
353,27.0,4.76,0.101,,,0,0.9157407234877085
354,25.0,4.9,0.131,,,0,0.9157407234877085
355,26.0,5.37,0.087,,,0,0.9157407234877085
356,28.0,5.71,0.097,,,0,0.9157407234877085
357,28.0,1.8,0.083,,,0,0.9152828531259647
358,27.0,0.51,0.087,,,0,0.9148252116994018
359,24.0,0.29,0.076,,,0,0.9143677990935521
360,25.0,0.41,0.085,,,0,0.9139106151940054
361,29.0,0.39,0.117,,,0,0.9134536598864085
362,26.0,0.31,0.12,,,0,0.9129969330564653
363,24.0,0.43,0.118,,,0,0.9125404345899372
