step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
421,23,4.26,0.1052,,
422,22,4.84,0.089,,
423,23,5.48,0.0945,,
424,24,5.51,0.103,,
425,24,6.21,0.0996,,
426,24,7.15,0.0894,,
427,25,8.03,0.0841,,
428,25,8.76,0.0659,,
429,24,10.09,0.0639,,
430,24,10.97,0.0643,,
431,24,11.94,0.0656,,
432,29,9.57,0.0822,,
433,29,10.07,0.0973,,
434,29,11.1,0.0941,,
435,30,11.62,0.0996,,
436,33,12.15,0.0948,,
437,32,12.68,0.116,,
438,32,13.2,0.1211,,
439,33,12.95,0.1206,,
440,35,11.68,0.1186,,
441,35,12.44,0.1062,,
442,35,12.38,0.0982,,
443,33,12.17,0.0692,,
444,34,12.62,0.0655,,
445,34,13.1,0.066,,
446,33,13.57,0.0701,,
447,34,14.17,0.0818,,
448,35,13.52,0.0825,,
449,35,14.42,0.0839,,
450,35,8.11,0.0832,,
451,35,3.7,0.0747,,
452,32,1.51,0.0834,,
453,32,1.21,0.0843,,
454,32,1.05,0.069,,
455,31,0.95,0.0667,,
456,32,1.09,0.0859,,
457,32,1.33,0.0901,,
458,29,1.6,0.1238,,
459,29,1.88,0.1282,,
460,29,2.14,0.115,,
461,27,2.45,0.1354,,
462,26,2.9,0.1428,,
463,25,3.24,0.1159,,
464,26,3.41,0.1224,,
465,25,3.81,0.1012,,
466,23,4.1,0.0924,,
467,22,4.54,0.099,,
468,24,4.1,0.1085,,
469,24,4.02,0.1244,,
470,24,4.3,0.1286,,
471,24,4.67,0.1352,,
472,28,4.85,0.1449,,
473,28,5.36,0.1608,,
474,27,5.8,0.1299,,
475,29,6.43,0.1115,,
476,29,7.15,0.1184,,
477,29,7.58,0.0702,,
478,29,8.0,0.0875,,
479,30,9.11,0.0617,,
480,31,8.85,0.0763,70,
481,30,9.76,0.0663,,
482,30,10.26,0.0598,,
483,28,10.53,0.0572,,
484,29,10.57,0.0581,,
485,29,10.37,0.0664,,
486,29,9.89,0.0729,,
487,28,10.09,0.0679,,
488,30,9.44,0.0816,,
489,30,9.95,0.0697,,
490,28,10.2,0.0764,,
491,28,10.72,0.0833,,
492,29,11.25,0.0864,,
493,29,12.42,0.0834,,
494,29,13.41,0.0979,,
495,30,7.0,0.0987,,
496,32,3.2,0.105,,
497,29,1.7,0.0875,,
498,29,0.88,0.0833,,
499,29,1.02,0.0734,,
500,28,1.24,0.0829,,
501,28,1.52,0.1027,,
502,26,1.73,0.1169,,
503,25,1.85,0.1338,,
504,31,1.6,0.1548,,
505,30,1.86,0.1401,,
506,28,2.06,0.1606,,
507,29,2.31,0.119,,
508,29,2.53,0.1193,,
509,28,2.76,0.1135,,
510,27,2.98,0.1516,,
511,28,3.19,0.1331,,
512,29,3.37,0.1221,,
513,29,3.79,0.1248,,
514,27,4.15,0.1121,,
515,27,4.64,0.0757,,
516,28,5.17,0.076,,
517,27,5.48,0.095,,
518,27,6.08,0.0923,,
519,26,6.45,0.0644,,
520,27,6.42,0.077,,
521,27,7.38,0.0797,,
522,27,8.08,0.0807,,
523,27,8.59,0.0834,,
524,28,9.59,0.0885,,
525,27,10.16,0.0877,,
526,27,11.34,0.0831,,
527,27,12.0,0.0855,,
