step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
238,16,0.26,0.062,,,0,0.9164617947419816
239,15,0.44,0.057,,,0,0.9164617947419816
240,16,0.65,0.071,,,0,0.9164617947419816
241,16,0.73,0.092,,,0,0.9164617947419816
242,14,0.93,0.069,,,0,0.9164617947419816
243,14,1.14,0.08,,,0,0.9164617947419816
244,12,1.39,0.072,,,0,0.9164617947419816
245,13,1.5,0.082,,,0,0.9164617947419816
246,13,1.68,0.089,,,0,0.9164617947419816
247,12,1.89,0.06,,,0,0.915728625306188
248,11,2.11,0.077,,,0,0.914996042405943
249,13,2.2,0.062,,,0,0.9142640455720182
250,13,2.52,0.078,,,0,0.9135326343355606
251,13,2.96,0.086,,,0,0.9128018082280922
252,14,3.48,0.066,,,0,0.9120715667815097
253,18,2.94,0.074,,,0,0.9113419095280845
254,17,3.26,0.086,,,0,0.910612836000462
255,17,3.6,0.082,,,0,0.9098843457316615
256,18,4.11,0.087,,,0,0.9091564382550762
257,21,3.84,0.123,,,0,0.9084291131044722
258,21,4.55,0.1,27,,0,0.9077023698139886
259,21,4.86,0.096,,,0,0.9069762079181374
260,23,5.17,0.111,,,0,0.9062506269518028
261,24,5.48,0.101,,,0,0.9055256264502414
262,23,5.79,0.082,,,0,0.9048012059490812
263,23,6.1,0.078,,,0,0.9040773649843219
264,23,6.68,0.073,,,0,0.9033541030923344
265,25,6.16,0.042,,,0,0.9033541030923344
266,25,6.74,0.064,,,0,0.9033541030923344
267,23,6.4,0.041,,,0,0.9033541030923344
268,23,5.73,0.041,,,0,0.9033541030923344
269,23,1.9,0.045,,,0,0.9026314198098605
270,23,0.3,0.042,,,0,0.9019093146740126
271,21,0.07,0.046,,,0,0.9011877872222733
272,20,0.3,0.063,,,0,0.9004668369924955
273,22,0.48,0.063,,,0,0.8997464635229016
274,20,0.73,0.072,,,0,0.8990266663520832
275,19,1.0,0.066,,,0,0.8983074450190015
276,18,1.29,0.076,,,0,0.8975887990629863
277,18,1.55,0.07,,,0,0.8968707280237359
278,16,1.81,0.074,,,0,0.8961532314413169
279,15,2.06,0.076,,,0,0.8954363088561638
280,14,2.48,0.067,,,0,0.8947199598090788
281,15,2.45,0.078,,,0,0.8940041838412315
282,15,2.81,0.106,,,0,0.8932889804941585
283,15,3.19,0.1,,,0,0.8925743493097632
284,14,3.72,0.068,,,0,0.8918602898303154
285,14,4.21,0.063,,,0,0.8918602898303154
286,14,4.57,0.067,,,0,0.8918602898303154
287,14,5.52,0.07,,,0,0.8918602898303154
288,13,4.56,0.065,,,0,0.8918602898303154
289,19,1.79,0.084,,,0,0.8911468015984512
290,19,0.82,0.092,,,0,0.8904338841571724
291,19,0.69,0.084,,,0,0.8897215370498467
292,18,0.06,0.065,,,0,0.8890097598202068
293,19,0.2,0.066,,,0,0.8882985520123506
294,19,0.33,0.076,,,0,0.8875879131707407
295,19,0.52,0.071,,,0,0.8868778428402041
296,19,0.72,0.096,,,0,0.886168340565932
297,21,0.85,0.119,,,0,0.8854594058934792
298,21,1.06,0.084,,,0,0.8847510383687643
299,20,1.27,0.075,,,0,0.8840432375380693
300,19,1.09,0.091,,,0,0.8833360029480388
301,20,1.24,0.083,,,0,0.8826293341456803
302,18,1.39,0.078,,,0,0.8819232306783638
303,18,1.71,0.076,,,0,0.8812176920938211
304,18,1.97,0.075,,,0,0.880512717940146
305,19,1.63,0.064,,,0,0.880512717940146
306,17,1.94,0.083,,,0,0.880512717940146
307,17,2.3,0.069,,,0,0.880512717940146
308,17,2.72,0.078,,,0,0.880512717940146
309,16,0.33,0.065,,,0,0.8798083077657938
310,16,0.0,0.065,,,0,0.8791044611195811
311,15,0.0,0.05,,,0,0.8784011775506854
312,14,0.07,0.059,,,0,0.8776984566086448
313,15,0.2,0.061,,,0,0.8769962978433579
314,15,0.33,0.078,,,0,0.8762947008050832
315,13,0.54,0.058,,,0,0.8755936650444391
316,12,0.78,0.054,,,0,0.8748931901124035
317,12,0.96,0.103,,,0,0.8741932755603136
318,10,1.2,0.099,,,0,0.8734939209398653
319,10,1.44,0.106,,,0,0.8727951258031135
320,11,1.67,0.114,,,0,0.872096889702471
321,13,1.59,0.112,,,0,0.871399212190709
322,12,1.45,0.117,,,0,0.871399212190709
323,13,1.38,0.079,,,0,0.871399212190709
324,12,1.64,0.072,,,0,0.871399212190709
325,17,1.47,0.068,,,0,0.871399212190709
326,17,0.07,0.072,,,0,0.871399212190709
327,17,0.1,0.068,,,0,0.871399212190709
328,14,0.21,0.084,,,0,0.871399212190709
329,18,0.31,0.107,,,0,0.871399212190709
330,18,0.45,0.081,,,0,0.871399212190709
331,16,0.58,0.086,,,0,0.871399212190709
332,18,0.71,0.107,,,0,0.871399212190709
333,19,0.9,0.107,,,0,0.871399212190709
334,19,1.03,0.097,,,0,0.871399212190709
335,17,1.17,0.077,,,0,0.871399212190709
336,17,1.38,0.083,,,0,0.8707020928209565
337,19,1.39,0.057,,,0,0.8700055311466997
338,19,1.62,0.065,,,0,0.8693095267217823
339,18,1.94,0.051,,,0,0.8686140791004049
340,19,2.27,0.061,,,0,0.8679191878371245
341,18,2.57,0.054,,20,0,0.8672248524868548
